ID,English,French,MSA,POS,Easy_target,Medium_target,Hard_target,Easy_distractor_1,Easy_distractor_2,Medium_distractor_1,Medium_distractor_2,Hard_distractor_1,Hard_distractor_2
977,bad,mauvais,سَيِّء,ADJ,زفت,مو زين,ماصت,زمك,آفة,جدي,معبي,حق,حر
978,certainly,certainement,بِ+ ال+ تَأْكِيد,NOUN,اكيد,سي سور,معلوم,ازيد,وكد,مبلا,فنلة,معلومة,معله
979,together,ensemble,سَوِيّاً,ADJ,مع بعضنا,كلنا,رباعة,من بعد,معبا,جميل,روعة,كاين,طاعم
980,carry,porter,حَمَل,VERB,رفع,نقل,رزح,هم,فز,عطل,قمر,حل,طل
981,enough,suffire,كَفَى,VERB,خلص,سد,اكاهاو,كبس,خلف,سرد,سدك,يدي,بركن
982,take care,prendre soin de,ٱِعْتَنَى,VERB,انتبه,قابل,اتوصى,اشتبه,على باله,قال,تربع,باصى,تلاهى
983,taxi stand,station de taxi,مَوْقِف أُجْرَة,NOUN,موقف,موقف تكاسي,جراج,وقف,موقع,اور تاكس,مرة كثير,فرقة,فرجة
985,already,déjà,فِعْلاً,NOUN,اساسا,من اول,مسبق,كلاص,خلال,عند,عهد,مسبح,ساق
986,never,jamais,أَبَداً,NOUN,نهائيا,على الاطلاق,بالمرة,نهار,شهادة,امر,خالة,بالمئة,وبر
987,pickpocket,pickpocket,نَشّال,NOUN,حرامي,سراق,بايق,حرام,حرمة,سرا,ساق,ل+,قلص
989,let 's go,allons-y,هَيّا بِ +نا,PRON,يالله,ارح,نمشيوا,هيها,هيو,الا,اية,شنوا,مو
991,welcome,bienvenu,مَرْحَباً ، أَهْلاً,NOUN,السلام عليكم,اهلين,حبابك,هلا,تهباش,حيا,الآن,بالسلامة,حبتين
992,you are welcome,je vous en pris,عَفْواً,NOUN,العفو,من عيوني,اتدلل,الف,محبس,بلا,للا,حاضر,ادام
994,here she is,voici,ها هِيَ,PRON,اهي,هنا هي,اكاهي,هاهو,اني,هاوه,ايه,هوليك,لكو
996,think,penser,ظَنّ,VERB,حسب,اتصور,اشتبه,افتر,افتك,شد,خمط,ضمن,ظن
997,think,réfléchir,فَكَّر,VERB,شاف,نظر,مخمخ,خاف,شال,خمط,تمم,ضمن,رن
