English Word	EN_ARTransliteration	French Word	FR_ARTransliteration
counter	كاونتر, كَاونتر, كاونتر	les urgences	لِزُورجَانس
medical	ميديكال, مِدِكال, ميديكال	étudiant	إِتوديان
weather	ويذر, وِذَر, ويذر	comptoir	كُومطُوآر
length	لينث, لِنتث, لينث	médical	مِدِيكال
nail	نيل, نَيل, نيل	longueur	لُوغغُر
regular	ريجولار, ريجُلار, ريجولار	ongle	أُونغْل
world	وورلد, وُرلد, وورلد	normal	نُورمال
suffer	سَفِر, سَفِر, سَفِر	monde	مُوند
cart	كارت, كَارت, كارت	souffrir	سُوفغِير
member	ميمبر, مِمبر, ميمبر	compteur	كُومطُور
vacation	ڤيكيشن, فَكيشن, ڤيكيشن	chariot	شاريُو
sign	ساين, سَايْن, ساين	membre	مَامبْر
customer	كَستمر, كَستَمِر, كَستمر	vacance	فَاكَانس
gas	غاز, گاز, غاز	panneau	پَانُو
girl	جيرل, گِرل, جيرل	client	كْليان
cup	كَپ, كَپ, كَپ	essence	إِسَانس
towel	تاول, تاول, تاول	tasse	تَاس
vitamin	ڤيتامين, فِيتامين, ڤيتامين	serviette	سِرڤيت
meet	ميت, مِيت, مييت	vitamine	ڤِيتَامِين
appreciate	أپريسييت, أپْرِسييت, أپريشِيت	rencontrer	رَنْكونتر
story	ستوري, سْتوري, ستوري	coton	كُوتُون
short	شورت, شُورت, شورت	valeur	ڤالُر
spend	سْپيند, سپيند, سْپيند	cheville	شِڤيل
cotton	كاتن, كُتُن, كاتن	épaule	إِپول
value	ڤاليو, فَليو, ڤاليو	brochure	بْروشور
ankle	آنكل, أَنْكل, آنكل	balle	بَال
shoulder	شولدر, شُولدر, شولدر	chaise	شِيز
pamphlet	بَمفلت, بَامفلت, بَمفلت	gâteau	غَاتُ
ball	بول, بَول, بول	chien	شِيان
chair	تشير, چير, تشير	coupon	كُوپُون
cake	كيك, كَيْك, كيك	lentille de contact	لَنْتِيل دُ كُنتَاك
dog	دوغ, دُوغ, دوغ	jouet	جُوِيه
coupon	كُپون, كوبون, كُپون	jeu	جُو
contact lens	كونتاكت لنس, كُنتاكت لنس, كونتاكت لنس	conférence	كُونفِرانس
toy	توي, طوي, توي	montant	مُونتَان
conference	كونفرينس, كُنفرِنس, كونفرينس	vente	ڤَانت
amount	أَمَونت, أَمَاونت, أَمَونت	groupe	غْروب
sale	سيل, سَيْل, سيل	huître	يُتر
group , set	جروب, سيت, جروب / سيت	toilette	تُوالِت
oyster	أويستر, أُويستر, أويستر	voie	ڤُوا
toilet	تويليت, تويلت, تويليت	distance	دِستانس
pass	بَس, پَس, بَس	pièce	پِيس
track	تراك, تْراك, تراك	moutarde	مُوتَارْد
distance	دِستانس, دِستنس, دِستانس	pompe	پومب
mustard	مسترد, مَسترد, مسترد	pluie	پْلُوي
project	بروجيكت, پروجيكت, بروجيكت	raisonnable	رَيزُونابل
pump	بَمب, پَمب, بَمب	machine	مَاشِين
rain	رين, رَيْن, رين	fer à repasser	فِر أ رِپاسِيه
reasonable	ريزُنبل, رِيزونابل, ريزُنبل	sel	سِل
machine	ماشين, مَاشين, ماشين	cuillère	كُيِير
iron	آيرن, أَيرن, آيرن	excellent	إكْسِلَان
salt	سولت, سُلت, سولت	acteur	أَكتِور
spoon	سبون, سْبون, سبون	région	رِيجْيون
excellent	إكسلنت, إِكسلنت, إكسلنت	important	إِمْپُورطان
actor	آكتور, أَكتور, آكتور	mode	مُود
area	أيريا, أَرِيَا, أيريا	site	سِيت
important	إمبورتانت, إمپورتنت, إمبورتانت	coin	كُوان
fashion	فاشن, فَاشن, فاشن	fenêtre	فِنِيتْر
site	سايت, سَايت, سايت	plante	پْلانت
corner	كورنر, كُورنر, كورنر	végétarien	ڤِيجِتَارْيِين
window	ويندو, وِندو, ويندو	conseil	كُونسِيه
plant	بلانت, پْلانت, بلانت	regard , coup d' oeil	رِغارد ، كُو دُ وَي
vegetarian	ڤيجتيريان, فيجتيريان, ڤيجتيريان	propre	پروپغ
woman	وومَن, وُومَن, وومَن	rivière	رِڤيير
advice	أدفايس, أَدْفَيس, أدفايس	tranquille	تْرَانكِيل
look	لوك, لُوك, لوك	passe-temps	پاس-تَم
clean	كلين, كْلين, كلين	père	پِير
river	ريفر, رِڤر, ريفر	signer	سِينِييه
quiet	كوايت, كْوايت, كوايت	sujet	سُوژِه
hobby	هوبّي, هوبّي, هوبّي	comment	كُومَان
father	فاذر, فَاذر, فاذر	monsieur	مَسْيُور
waist	ويست, وِيست, ويست	madame	مَدام
matter	ماتر, مَاتر, ماتر	un peu	أَنْ پُ
how	هاو, هَاو, هاو	trop	تْرُو
mr. , sir	مِستر, سِر, مِستر / سِر	beaucoup	بُوكُو
ms. , maam	مِس, مام, مِس / مام	encore	أَنْكُور
a little bit	أ ليتل بِت, أَ ليتل بِت, أ ليتل بِت	falloir , prendre de temps , durer	فَالُوار ، پْرَنْدغ دُ تَم ، دُرِيه
too much	تو ماتش, تومَتش, تو ماتش	des frais	دِه فغغ
many , a lot	ميني, أ لوت, ميني / أ لوت	demi	دِمِي
still , yet	سْتِل, يِت, سْتِل / يِت	poste par avion	پُوست پَار أڤيُون
take , last	تيك, لاست, تيك / لاست	fois	فُواه
charges	تشارجز, چارجز, تشارجز	puis -je ... ?	پُوي-ژُ ... ؟
half	هاف, حاف, هاف	vraiment , certainement	ڤْرَيْمَان ، سِرتِنمَان
airmail	إيرميل, أيرميل, إيرميل	vraiment	ڤْرَيْمَان
may I ... ? , can I ... ?	مي آي ..., كَان آي ... ?, مي آي ..., كَان آي ... ?, مي آي ..., كَان آي ... ?	cher	شِير
might , may	مايت, مي, مايت / مي	avoir peur	أڤُوار پُر
already , for sure	ألردي, فور شور, ألردي / فور شور	touristique	تُورِيستيك
really	ريلي, رِيلي, ريلي	à destination de	أَ دِستِينَاسيون دُ
expensive	إكسپينسيف, إكسپينسِف, إكسپينسيف	revenir , retourner	رُوفُنِير ، رُتُرنِير
be afraid	بي آفريد, بي أَفْرِيد, بي آفريد	arrivée	أَريفِي
tourist , touristic	تورِست, توريستيك, تورِست / توريستيك	gauche	غُوش
bound to	باوند تو, بَوند تو, باوند تو	parfaitement , complètement	پَارفِيتْمَان ، كُومپلِتْمَان
return , come back	ريتورن, كم باك, ريتورن / كم باك	sur , à propos de	سُور ، أَ پْرُوپُو دُ
arrival	أَرایڤل, أَرَايڤل, أَرایڤل	pouvoir , être capable de	پُوفُوار ، إِتغ كَاپَابل دُ
left	لِفت, لِفْت, لِفت	moins	مُوَن
completely , perfectly	كومبليتلي, پرفِكتلي, كومبليتلي / پرفِكتلي	immédiatement	إِمِديَاتْمَان
can , be able to	كان, بي إيبِل تو, كان / بي إيبِل تو	bientôt	بِيانطُ
least , less	لِست, لِس, لِست / لِس	séjourner , descendre à	سِيجُورنِيه ، دِسَوندغ أ
right away	رايت أواي, رَيت أَواي, رايت أواي	nouvelles	نُوفِل
soon	سون, سُون, سون	compagnie aérienne	كُومپَانيه أِيرِيِن
news	نيوز, نْيوز, نيوز	fort	فُور
airline	إيرلاين, أيرلاين, إيرلاين	air	أِير
severe	سِفير, سِڤير, سِفير	moins cher	مُوَن شِير
air	إير, أَير, إير	attraper	أَتغَاپِيه
cheapest , cheaper	تشيپِست, تشِپر, تشيپِست / تشِپر	J' ai attrappé une maladie	ژه أِي أَتغَاپيه أُون مَالادِي
catch , hold	كاتش, هولد, كاتش / هولد	plus grand	پْلُو غْران
I caught a disease	آي كوت أ دِزيز, آي كاوت أ دِزيز, آي كوت أ دِزيز	convenable , aller bien	كُونڤنابل ، آلِي بِيان
biggest , bigger	بيجيست, بيگَر, بيجيست / بيگَر	bien	بِيان
largest , larger	لارجيست, لارجَر, لارجيست / لارجَر	forme	فُورم
suitable , appropriate , fit well	سوتِبل, أپروپريِت, فيت وِل, سوتِبل / أپروپريِت / فيت وِل	permettre	پَرْمِتغ
again	أگين, أَگِين, أگين	aller tout droit	آلِي تُو درُوَا
more	مور, مُور, مور	hier	يِير
shape	شَيْپ, شَيْپ, شَيْپ	dimanche	دِيمَنْش
allow	أَلَو, أَلَو, أَلَو	lundi	لَنْدِي
go straight	جو سترِيت, گو سترِيت, جو سترِيت	mardi	مَارْدِي
yesterday	يسترداي, يَستِرداي, يسترداي	mercredi	مِركرْدِي
sunday	ساندِ, سَنْدِ, ساندِ	jeudi	جُوِدِي
monday	ماندِي, مُندِي, ماندِي	vendredi	وََنْدْرِدِي
tuesday	تُوزدِي, تْيوزدِي, تُوزدِي	samedi	سَامْدِي
wednesday	وِنزدِي, وِينزدِي, وِنزدِي	janvier	ژَانڤِيِيه
thursday	ثُرزدِي, ثُرزدِي, ثُرزدِي	février	فِيفْرِيِيه
friday	فْرَيدِي, فْرِيدِي, فْرَيدِي	mars	مَارْس
saturday	سَتِردِي, سَتُردِي, سَتِردِي	avril	أَڤْرِيل
january	جانُاري, جانوري, جانُاري	mai	مَيه
february	فِبْرواري, فِبْرُواري, فِبْرواري	juin	جُوِين
march	مارتش, مَرْتش, مارتش	juillet	جُوِيِيه
april	إِيبرل, إِيبريل, إِيبرل	août	أُوت
may	ماي, مَاي, ماي	septembre	سَپْتَامْبْر
june	جون, جُون, جون	octobre	أُكتُوبْر
july	جُولاي, جُولاي, جُولاي	novembre	نُوفَامْبْر
august	أوغست, أُوغست, أوغست	décembre	دِسَامْبْر
september	سِبتَمبِر, سِپتَمبِر, سِبتَمبِر	achat	أَشَات
october	أوكتوبر, أُوكتوبر, أوكتوبر	obtenir	أُوبتْنِير
november	نوفَمبِر, نُوفَمبِر, نوفَمبِر	entrer	أَنْتْرِيه
december	ديسَمبِر, دِسَمبِر, ديسَمبِر	appeler	أَبَلِيه
purchase	پُرتشَس, پُرشَس, پُرتشَس	embarquement	أَنْبارْكْمَان
going	جوينج, گوينج, جوينج	bien sûr	بِيان سُور
getting	گيتنغ, گِتِنغ, گيتنغ	ne importé lequel	نُو اَمپورطِ لُكِل
entering	إنتَرِنغ, إِنترِنغ, إنتَرِنغ	gentil	جَنْتِي
calling	كولينغ, كولِنغ, كولينغ	le même	لُ مَم
changing	تشينجِنغ, تشَيْنجنغ, تشينجِنغ	plus tard	پْلُو تَار
seeing	سينينغ, سِيننغ, سينينغ	valise	ڤالِيز
boarding	بوردِنغ, بوردِينغ, بوردِنغ	loin	لُوَان
sending	سِنْدينغ, سِندِنغ, سِنْدينغ	dormir	دُورمِير
of course	أُف كُرس, أُف كورس, أُف كُرس	sommeil	سُومِيل
any	أَني, أَني, أَني	bleu	بْلُو
nice	نيس, نَايس, نيس	plus petit	پْلُو پْتِي
same	سِيم, سَيم, سِيم	vers le bas	فَر لُ بَاس
later	ليتِر, لِيتَر, ليتِر	ne importe quoi	نُ اَمپورط كُوَاه
suitcase	سويتكيس, سويتكيس, سويتكيس	faux	فُو
far	فار, فَار, فار	mademoiselle	مَادْمُوَاْزِل
sleep	سليب, سْليب, سليب	se garer	سُو غارِيه
blue	بلو, بْلو, بلو	choisir	شُوَازِير
smallest , smaller	سمالِست, سمالَر, سمالِست / سمالَر	plus ... que	پْلُو ... كُ
down	داون, دَاون, داون	populaire	پُوپُولِر
anything	أَنيثينغ, أَنيثينغ, أَنيثينغ	tard	تَار
wrong	رونغ, رُونغ, رونغ	se epuiser	سُو إِپُويزِيه
miss	مِس, مِس, مِس	terminer	تِرْمِينِيه
park	بارك, پَرك, بارك	mauvais	مُوفِيه
select , pick	سِلِكت, پِك, سِلِكت / پِك	certainement	سِرتِنمَان
more ... than	مور ثان, مُور ثان, مور ثان	ensemble	أَنْسَامْبْل
popular	پاپيلَر, پاپيولَر, پاپيلَر	suffire	سُفِير
late	ليت, لَيْت, ليت	prendre soin de	پْرَنْدْر سْوَا دُ
run out , end	رن آوت, إند, رن آوت / إند	station de taxi	سْتَاسْيُون دُ تَاكْسِي
bad	بَد, بَد, بَد	haut , élevé	أُو ، إِلِڤِيه
certainly	سِرتِنلي, سِرتِنلي, سِرتِنلي	déjà	دِيجَا
together	تُوگِذر, تُوگِذر, تُوگِذر	jamais	جَاميه
carry	كاري, كيري, كاري	pickpocket	پِيكپُوكِيه
enough	إناف, إِناف, إناف	marcher	مَارشِيه
take care	تيك كير, تِيك كير, تيك كير	allons-y	أَلُون-زِي
taxi stand	تاكسي ستاند, تاكسي ستَند, تاكسي ستاند	bienvenu	بِيانڤِنُو
high	هاي, هَاي, هاي	je vous en pris	ژُه فُو زَنْ پْرِيه
already	ألردي, أَلرِدي, ألردي	voici	فُواسي
never	نيفَر, نِفَر, نيفَر	penser	پَنْسِيه
pickpocket	پيكبُوكِت, پِيكپوكِت, پيكبُوكِت	réfléchir	رِفِلِشِيه
walk	ووك, وُوك, ووك	proche	پْروش
let 's go	لِتس گو, لِتس غُو, لِتس گو		
note	نوت, نُوت, نوت		
welcome	وِلکَم, وِلْكَم, وِلکَم		
you are welcome	يُو آر وِلکَم, يُو آر وِلْكَم, يُو آر وِلکَم		
here he is	هير هي إز, هير هي إِز, هير هي إز		
here she is	هير شي إز, هير شي إِز, هير شي إز		
believe	بِلِيف, بِلِڤ, بِلِيف		
near , close	نير, كلوز, نير / كلوز		
